Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air slope ()	air valve control ()
0.619697226	2745.13208	9.425424576	35912.27734	9397899.552	0.021140156
0.619708764	2536.907959	9.408504486	35912.27734	9397899.552	0.020916766
0.619720361	3224.371094	9.330895424	35912.27734	9397899.552	0.021098463
0.619731924	2959.641357	9.307728767	35912.27734	9397899.552	0.021130701
0.619743487	2959.904053	9.38304615	35912.27734	9397899.552	0.020994383
0.619755075	3244.517822	9.595212936	36020.4375	9397899.552	0.02114551
0.619766658	2782.469482	9.423299789	36020.4375	9397899.552	0.02097652
0.61977823	3209.701172	9.411640167	36020.4375	9397899.552	0.021005934
0.619789806	3086.504639	9.41385746	36020.4375	9397899.552	0.021214476
0.61980136	2716.532227	9.407221794	36020.4375	9397899.552	0.020911784
0.619812931	3266.901611	9.409668922	36113.33594	9397899.552	0.021008995
0.619824535	3002.098877	9.415276527	36113.33594	9397899.552	0.021126525
0.619836114	2878.605713	9.423132896	36113.33594	9397899.552	0.020910289
0.619847669	3160.507324	9.428238869	36113.33594	9397899.552	0.021092387
0.619859263	2712.283936	9.423931122	36113.33594	9397899.552	0.02091876
0.619870807	2655.179199	9.43501091	36182.85547	9397899.552	0.020847831
0.619882373	2615.028564	9.455026627	36182.85547	9397899.552	0.020931943
0.619893971	2471.247559	9.456287384	36182.85547	9397899.552	0.020809261
0.619905483	2911.961426	9.47135067	36182.85547	9397899.552	0.020885271
0.61991711	2582.749023	9.46957016	36182.85547	9397899.552	0.020917451
0.619928684	2467.422607	9.475096703	36248.70313	9397899.552	0.02079161
0.619940267	2791.399414	9.459424973	36248.70313	9397899.552	0.020889254
0.619951836	2594.674561	9.456839562	36248.70313	9397899.552	0.020874667
0.619963405	2493.591309	9.458771706	36248.70313	9397899.552	0.020802231
0.619974988	2910.677734	9.463785172	36248.70313	9397899.552	0.020967106
0.619986543	2538.547363	9.458554268	36353.60156	9397899.552	0.020791604
0.619998132	2621.634766	9.464347839	36353.60156	9397899.552	0.020787938
0.620009648	2791.391602	9.471153259	36353.60156	9397899.552	0.020978818
0.620021296	2540.204834	9.4817276	36353.60156	9397899.552	0.020770065
0.620032846	2692.118896	9.473183632	36353.60156	9397899.552	0.020823243
0.620044427	2548.540283	9.470973969	36262.25391	9397899.552	0.020866854
0.620055996	2476.500244	9.463220596	36262.25391	9397899.552	0.020786358
0.620067594	2864.880615	9.450208664	36262.25391	9397899.552	0.020927978
0.620079155	2764.999512	9.448367119	36262.25391	9397899.552	0.02092887
0.620090719	2729.176758	9.433831215	36262.25391	9397899.552	0.020835154
0.620102215	2672.577148	9.430083275	36337.32031	9397899.552	0.02085478
0.620113875	2534.572754	9.46763134	36337.32031	9397899.552	0.020812403
0.620125426	2664.081787	9.39818573	36337.32031	9397899.552	0.020777407
