Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.644429843	10936.30566	5.172391415	29245.12695	0.062267696
0.644441407	10963.71094	5.171870232	29245.12695	0.062342607
0.644453008	10934.33691	5.146766663	29245.12695	0.062336735
0.644464552	10965.33398	5.045733929	29245.12695	0.062319511
0.644476128	10965.5625	4.771052361	29245.12695	0.062333784
0.644487731	10971.64746	4.445725918	29144.67383	0.062517241
0.64449929	10964.81934	4.056249619	29144.67383	0.062555816
0.64451086	10941.81934	3.623410463	29144.67383	0.062468338
0.644522428	10955.63867	3.235303402	29144.67383	0.062447921
0.644534024	10978.70313	2.878326893	29144.67383	0.062534046
0.644545573	10971.22461	2.562508345	29090.47852	0.062569667
0.644557152	10956.10449	2.296710968	29090.47852	0.062617454
0.64456875	10921.32227	2.050153494	29090.47852	0.062612431
0.644580297	10926.03125	1.825686216	29090.47852	0.062572432
0.644591875	10936.01953	1.615178943	29090.47852	0.062549376
0.644603463	10965.75293	1.456321716	28997.75	0.062810973
0.644615015	10930.82129	1.323848844	28997.75	0.062661252
0.644626603	10941.63965	1.168961287	28997.75	0.062802335
0.644638177	10971.1709	1.039811015	28997.75	0.062826518
0.64464974	10914.95703	0.93372792	28997.75	0.062724297
0.644661333	10935.46191	0.883092463	28931.73828	0.062894581
0.644672898	10935.52051	0.795153558	28931.73828	0.062856084
0.644684475	10911.98242	0.718059361	28931.73828	0.062858467
0.644696061	10951.46973	0.651114523	28931.73828	0.062943637
0.644707628	10929.89551	0.588551402	28931.73828	0.062874277
0.644719212	10952.12207	0.530797005	28817.53125	0.063112935
0.644730762	10946.98535	0.518722951	28817.53125	0.063089064
0.644742336	10891.84082	0.487287283	28817.53125	0.062984877
0.644753912	10866.16211	0.426839113	28817.53125	0.06299881
0.644765496	10863.12012	0.394840032	28817.53125	0.062970689
0.644777071	10827.12402	0.377325326	28667.34375	0.063174158
0.644788627	10825.7373	0.329297781	28667.34375	0.063244322
0.644800204	10853.35449	0.280590117	28667.34375	0.063226564
