Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.621536343	19786.875	-0.001466896	29012.03125	0.172362447
0.621547928	19735.00586	0.010381855	29012.03125	0.171745355
0.621559507	19659.61328	0.063724972	29012.03125	0.17090542
0.621571067	19612.06641	0.127975985	28866.81055	0.172307359
0.621582642	19618.29297	0.199228078	28866.81055	0.172472993
0.621594222	19668.98438	0.257602274	28866.81055	0.17287423
0.621605803	19626.50195	0.323286623	28866.81055	0.172733544
0.621617362	19653.91406	0.395369321	28866.81055	0.17309554
0.621628953	19645.82227	0.470624715	28771.08789	0.173354147
0.621640506	19557.08984	0.528768241	28771.08789	0.172360213
0.621652083	19293.34375	0.623875201	28771.08789	0.169495514
0.621663658	18925.08789	0.722127974	28771.08789	0.166628441
0.621675226	18684.44141	0.840698004	28771.08789	0.165217712
0.621686822	18455.97852	0.932449877	28641.67969	0.164165731
0.621698391	18133.20703	1.035802007	28641.67969	0.161511201
0.621709949	17770.6582	1.1304034	28641.67969	0.159052265
0.621721546	17475.05859	1.273077965	28641.67969	0.15729684
0.621733099	17222.67773	1.37087512	28641.67969	0.155412166
0.621744699	17034.99023	1.454128265	28517.20117	0.155346667
0.621756258	16924.00195	1.558564544	28517.20117	0.154889445
0.621767815	16829.03711	1.659622669	28517.20117	0.154015281
0.621779393	16666.67383	1.777965665	28517.20117	0.153109737
0.621790974	16485.15625	1.913280368	28517.20117	0.151981292
0.621802568	16429.17969	2.034921169	28443.625	0.152020844
0.621814123	16320.49805	2.091882467	28443.625	0.151454544
0.621825704	16195.36621	2.16066289	28443.625	0.150636878
0.621837281	16040.90918	2.304546356	28443.625	0.150206002
0.62184885	16399.2793	2.385808706	28443.625	0.152594269
0.621860423	16527.14844	2.479790449	28313.10156	0.153954891
0.621872	16447.74414	2.559339523	28313.10156	0.153156406
0.621883581	16310.46973	2.62861371	28313.10156	0.152314012
0.621895136	16185.66113	2.720076561	28313.10156	0.151502202
0.621906728	16024.95313	2.803292036	28313.10156	0.150790962
0.621918279	15946.16602	2.914361954	28251.7832	0.15084743
0.62192987	15923.82129	3.005078077	28251.7832	0.150609355
0.621941438	15918.66895	3.084452868	28251.7832	0.150526705
0.621953015	15869.96191	3.163243532	28251.7832	0.150203615
0.621964586	15781.47363	3.278215647	28251.7832	0.149695442
0.621976162	15758.13672	3.390329838	28162.63281	0.150306952
0.621987728	15795.05273	3.460375309	28162.63281	0.150324171
0.621999312	15815.56641	3.542737246	28162.63281	0.150414989
0.622010902	15794.13477	3.635929346	28162.63281	0.150454479
0.622022475	15822.85742	3.669053316	28162.63281	0.151124869
0.622034037	16074.83105	3.733149529	28117.99414	0.152679568
0.622045614	16266.78125	3.814023256	28117.99414	0.15384526
0.622057167	16526.42578	3.907943964	28117.99414	0.155463057
0.622068752	16884.125	4.023971558	28117.99414	0.158354719
0.622080345	17158.61328	4.101768494	28117.99414	0.159703114
0.622091897	17318.63086	4.183921337	30362.77344	0.145690939
0.62210349	17450.96484	4.221989155	30362.77344	0.146187963
0.622115071	17554.23438	4.318235874	30362.77344	0.147027624
0.622126629	17750.46484	4.415846825	30362.77344	0.147664855
0.622138198	17811.3418	4.4664011	30362.77344	0.148064658
0.622149771	17942.85547	4.550841332	33100.71875	0.133960881
0.622161356	18020.33984	4.59107542	33100.71875	0.134292397
0.622172926	18002.80859	4.660884857	33100.71875	0.134054253
0.622184486	18038.81836	4.711939335	33100.71875	0.134341672
0.622196066	18052.7832	4.755497932	33100.71875	0.134714498
0.622207634	18163.38477	4.831637383	32860.41016	0.136091361
0.622219212	18223.51758	4.903615475	32860.41016	0.136289503
0.62223078	18208.78906	4.967630386	32860.41016	0.136183829
0.622242352	18149.44922	5.02543354	32860.41016	0.135939126
0.622253927	18259.83008	5.099944115	32860.41016	0.136611106
0.622265518	18384.52344	5.129384041	32787.05859	0.137422149
