Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.598990057	26900.83203	8.722725868	32847.71875	0.420948425
0.599001626	26937.57422	8.722779274	32847.71875	0.422197627
0.599013191	26916.88281	8.72439003	32847.71875	0.421637126
0.599024765	26922.62305	8.723303795	32847.71875	0.421545859
0.599036362	26933.78906	8.723155975	32847.71875	0.421160317
0.599047917	26898.65625	8.732117653	32849.89063	0.420167144
0.599059502	26869.18555	8.718250275	32849.89063	0.418944634
0.599071079	26937.52539	8.723521233	32849.89063	0.422480038
0.599082651	26912.53711	8.735537529	32849.89063	0.421470461
0.599094214	26906.78516	8.725569725	32849.89063	0.421410883
0.599105797	26929.44531	8.723459244	32862.08203	0.420247997
0.59911737	26892.38281	8.720133781	32862.08203	0.41864727
Na2so4 in				
0.599128945	26883.55469	8.707064629	32862.08203	0.419935125
0.599140503	26896.06055	8.694189072	32862.08203	0.419819603
0.599152092	26900.91016	8.679309845	32862.08203	0.419724505
0.59916365	26917.97266	8.66444397	32883.50781	0.419193053
0.599175267	26901.24414	8.654310226	32883.50781	0.419273015
0.599186809	26922.3125	8.647083283	32883.50781	0.419630742
0.599198402	26895.22656	8.644006729	32883.50781	0.418839212
0.599209945	26915.31445	8.641593933	32883.50781	0.420694549
0.599221537	26906.44141	8.631795883	32908.77734	0.41898885
0.599233126	26917.92188	8.608567238	32908.77734	0.418581486
0.599244678	26909.73828	8.571149826	32908.77734	0.417415591
0.599256253	26925.16797	8.535726547	32908.77734	0.419459456
0.59926784	26876.39844	8.517141342	32908.77734	0.417362621
0.599279402	26919.64258	8.508776665	32917.33984	0.419297958
0.599290982	26879.79492	8.493188858	32917.33984	0.417264283
0.599302559	26929.01758	8.452377319	32917.33984	0.41903707
0.599314135	26884.82031	8.403550148	32917.33984	0.417220528
0.599325707	26889.29492	8.382759094	32917.33984	0.418166146
0.599337262	26898.69531	8.370857239	32914.33984	0.417726643
0.59934884	26919.55859	8.336833	32914.33984	0.418670142
0.599360425	26909.53125	8.285869598	32914.33984	0.418732224
0.599371997	26883.7793	8.242406845	32914.33984	0.417061075
0.59938356	26923.97656	8.194406509	32914.33984	0.420020097
0.599395143	26881.58984	8.141717911	32958.06641	0.415661202
0.599406715	26928.25195	8.122065544	32958.06641	0.416726492
0.599418308	26915.8457	8.117258072	32958.06641	0.416830943
0.599429876	26932.8125	8.106611252	32958.06641	0.417633183
0.599441437	26893.85742	8.06582737	32958.06641	0.416805578
0.59945302	26879.77539	8.015443802	32978.86719	0.415220689
0.599464589	26896.51953	7.98761797	32978.86719	0.416273624
0.59947615	26899.62891	7.968665123	32978.86719	0.415506496
0.599487746	26890.09961	7.924112797	32978.86719	0.415834077
0.599499318	26916.26172	7.885166645	32978.86719	0.416705026
0.599510891	26910.7168	7.84982872	32987.86328	0.415654605
0.599522467	26904.41992	7.811643124	32987.86328	0.415023311
0.599534038	26894.51367	7.759553433	32987.86328	0.415498504
0.599545602	26906.88086	7.731978893	32987.86328	0.41507274
0.599557185	26899.16211	7.715572357	32987.86328	0.416078169
0.599568758	26906.45117	7.680055618	32991.9375	0.416072234
0.599580334	26909.74414	7.625222206	32991.9375	0.416389899
0.599591909	26945.73828	7.603294373	32991.9375	0.41621651
0.599603461	26893.50586	7.593874931	32991.9375	0.415335032
0.599615043	26902.52148	7.590098381	32991.9375	0.414649325
0.599626623	26887.98047	7.567826271	33051.66406	0.41219891
0.599638198	26913.13281	7.525940418	33051.66406	0.413682966
0.59964977	26900.05664	7.499201775	33051.66406	0.413119277
