Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.662821073	27470.64648	-0.023184979	35796.42578	0.017576886
0.662832651	27479.22656	-0.038047411	35796.42578	0.017735484
0.662844234	27734.41406	-0.043783791	35814.6875	0.017871524
0.662855802	27926.64063	-0.063664377	35814.6875	0.018272466
0.66286737	27965.07617	-0.036870845	35814.6875	0.018239128
0.662878958	28196.79492	-0.021875944	35814.6875	0.018316423
0.662890508	28092.83789	-0.022898046	35814.6875	0.018258625
0.662902092	27855.49805	-0.019633144	35880.96875	0.017912215
0.662913676	27634.24414	-0.017033575	35880.96875	0.017668552
0.662925243	27901.48047	-0.015429114	35880.96875	0.018113581
0.66293681	27921.46289	-0.014811765	35880.96875	0.018154947
0.662948372	28170.56836	-0.012735585	35880.96875	0.01818178
0.66295995	27958.52344	-0.015309186	35863.36328	0.018035961
0.662971528	27687.1543	-0.015350303	35863.36328	0.017746552
0.662983114	27477.26367	-0.013325554	35863.36328	0.017520036
0.662994686	27738.70117	-0.013632733	35863.36328	0.018038562
0.663006251	27827.48047	-0.009575675	35863.36328	0.018002016
0.663017835	27994.60156	-0.00648936	35891.04688	0.0180603
0.663029415	28127.64844	-0.004829613	35891.04688	0.018356836
0.663040983	28062.54883	-0.003558249	35891.04688	0.018202631
0.663052544	27948.07031	-0.002879033	35891.04688	0.017949278
0.663064152	27855.39063	-0.001990643	35891.04688	0.017919607
0.663075709	27784.45508	-0.001885386	35922.19531	0.017879674
0.663087274	28045.4043	-0.002303997	35922.19531	0.018010892
0.663098851	28139.02344	-0.002095302	35922.19531	0.018345556
0.663110439	28131.32422	-0.002199841	35922.19531	0.018275307
0.663122014	28196.98242	-0.001622699	35922.19531	0.018221121
0.663133568	28234.5	-0.001781925	35943.58203	0.018340579
0.663145153	28159.82422	-0.001571243	35943.58203	0.018276462
0.663156705	28216.6875	-0.001102398	35943.58203	0.018190155
0.663168279	28334.63867	-0.000889514	35943.58203	0.018533909
0.663179874	28175.69727	0.000151759	35943.58203	0.018238258
0.663191454	28108.50586	0.002834613	35991.88672	0.018016825
0.663203012	27919.13672	0.005319472	35991.88672	0.017872847
0.663214601	27861.97656	0.007720085	35991.88672	0.017964237
0.663226177	28038.58398	0.01317023	35991.88672	0.017969204
0.663237765	28293.40039	0.024054581	35991.88672	0.018407849
0.663249328	28150.0918	0.04192375	36012.07031	0.018070331
0.663260904	27976.13281	0.057488851	36012.07031	0.017883051
0.663272479	27946.0625	0.073510565	36012.07031	0.017915785
0.663284035	27839.9043	0.091379389	36012.07031	0.017850681
0.663295608	27842.87891	0.106426448	36012.07031	0.017756825
0.66330718	28056.5625	0.126353964	36078.14844	0.018029875
0.663318767	28095.24414	0.146016851	36078.14844	0.018126263
0.663330322	28241.67383	0.208533913	36078.14844	0.018070917
0.663341901	28448.26953	0.249703094	36078.14844	0.018471869
0.663353491	28307.66406	0.260747463	36078.14844	0.01816325
0.663365056	28089.05078	0.274969786	36100.6875	0.017901567
0.663376625	27909.50977	0.297119707	36100.6875	0.017746052
0.6633882	27855.25	0.32818073	36100.6875	0.01777701
0.663399786	28038.17773	0.349229336	36100.6875	0.017833072
0.663411344	28318.64648	0.36297968	36100.6875	0.018328739
0.663422913	28177.10547	0.377933264	36144.86328	0.017962584
0.663434508	28036.08594	0.383734226	36144.86328	0.017797437
0.663446073	27786.48828	0.388975054	36144.86328	0.017541359
0.663457659	27574.90039	0.39416194	36144.86328	0.01736067
0.663469211	27455.4375	0.403521359	36144.86328	0.01717392
0.663480792	27280.68164	0.417189777	36188.65234	0.017034725
0.663492369	27163.76367	0.433056295	36188.65234	0.016887542
0.66350393	27619.96484	0.453292668	36188.65234	0.017318051
0.663515521	27723.49609	0.476636589	36188.65234	0.017790099
0.663527086	27770.88672	0.496305466	36188.65234	0.017445749
0.66353867	27646.1582	0.510453522	36234.54688	0.017310039
0.663550236	27490.125	0.518197179	36234.54688	0.017257812
0.663561831	27349.53516	0.521807134	36234.54688	0.017039888
0.663573404	27775.77344	0.524112523	36234.54688	0.017530651
0.663584981	27794.74023	0.527682483	36234.54688	0.017651083
0.663596537	27958.42969	0.538984001	36245.93359	0.017604498
0.663608104	27887.86719	0.557821453	36245.93359	0.017596965
0.663619698	27821.41992	0.58766681	36245.93359	0.017574765
0.663631248	27911.78906	0.617629349	36245.93359	0.017536922
0.66364282	27919.68164	0.639647067	36245.93359	0.017675277
0.663654397	27846.89063	0.650077581	36252.17578	0.017576947
0.663665989	28130.77539	0.659087658	36252.17578	0.017750639
0.66367754	27936.59375	0.674786508	36252.17578	0.017600405
0.663689133	27788.2207	0.691547692	36252.17578	0.017465077
0.663700689	28127.80859	0.73922199	36252.17578	0.01778291
0.663712276	27852.64648	0.767944455	36296.97656	0.017446547
0.663723846	27606.0918	0.787400425	36296.97656	0.017177369
0.663735427	27520.76367	0.825606585	36296.97656	0.017150714
0.663746999	27579.55664	0.840755105	36296.97656	0.017473461
0.663758561	27670.36719	0.888931394	36296.97656	0.017236234
0.663770147	28029.63281	0.911227703	36297.23047	0.017735224
0.663781711	27903.91797	0.918549776	36297.23047	0.017541798
0.663793296	27698.69922	0.935033202	36297.23047	0.017279332
0.663804875	27644.43359	0.974924803	36297.23047	0.017291376
0.66381645	27522.25781	1.014074326	36297.23047	0.017226107
0.663828028	27835.14648	1.036338091	36331.30078	0.017389843
0.663839602	27962.4082	1.045336723	36331.30078	0.017781129
0.663851171	27964.25195	1.053130388	36331.30078	0.017516165
0.663862748	27781.97266	1.066154718	36331.30078	0.017336509
