Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.624684492	5990.060059	7.953518391	28635.22461	0.056676591
0.62469609	5984.269531	7.711302757	28591.70508	0.056737068
0.624707655	5990.230957	7.403553963	28591.70508	0.056731341
0.624719203	6002.38623	7.133180141	28591.70508	0.056728763
0.624730802	6028.203613	6.855322838	28591.70508	0.05673804
0.62474236	5989.119141	6.641274929	28591.70508	0.056709394
0.624753933	6008.805176	6.377525806	28550.75977	0.056839319
0.624765508	5975.702637	6.203239441	28550.75977	0.056771135
0.624777094	6008.375488	6.001285553	28550.75977	0.056805372
0.624788674	5990.266113	5.817596436	28550.75977	0.056785696
0.624800228	5991.620117	5.678913117	28550.75977	0.056741833
0.624811811	5979.212402	5.558793068	28483.91602	0.056851138
0.624823404	6027.546387	5.428599358	28483.91602	0.056911748
0.624834976	6007.476074	5.268442154	28483.91602	0.056890525
0.624846526	5969.469238	5.186900616	28483.91602	0.056842955
0.624858097	6006.235352	5.105286598	28483.91602	0.056879288
0.624869711	6014.65918	5.05062294	28466.99805	0.056932371
0.624881257	5992.188965	4.905757904	28466.99805	0.056882751
0.624892844	5999.700684	4.828495503	28466.99805	0.056933387
0.624904409	6023.349121	4.733237267	28466.99805	0.056912661
0.624915981	6015.939941	4.701909065	28466.99805	0.05693768
0.624927568	6005.876465	4.622968197	28380.81836	0.057064352
0.624939117	5986.287598	4.581343651	28380.81836	0.057025891
0.624950686	6017.213867	4.533950806	28380.81836	0.057065545
0.624962272	6015.033203	4.467161179	28380.81836	0.057026623
0.624973852	5988.132324	4.441344738	28380.81836	0.057012344
0.624985438	6021.82959	4.372470379	28333.23242	0.057119019
0.624997003	5999.466309	4.306111813	28333.23242	0.057088978
0.625008586	6032.451172	4.236807823	28333.23242	0.057122298
0.625020174	6011.214844	4.196124077	28333.23242	0.057116706
0.625031737	5975.779297	4.188624859	28333.23242	0.057087835
0.625043283	6030.118164	4.180130959	28273.86328	0.057234296
0.625054873	5996.602539	4.139230728	28273.86328	0.057134207
0.625066438	6001.108398	4.086931229	28273.86328	0.057168712
0.625078033	6017.504395	4.057676792	28273.86328	0.057213039
0.625089582	6011.664551	4.02767992	28273.86328	0.057196681
0.625101171	6001.470703	3.970418453	28247.69531	0.057231088
