Day fraction since midnight on 	Accumulator Pressure (Pa)	DO probe (mg/L)	Source Pressure (Pa)	air valve control ()
0.636547915	23389.02148	-0.10195265	27335.98633	0.026193089
0.636559483	23400.53711	-0.114506126	27463.20117	0.025840279
0.636571053	23440.44336	-0.109232962	27463.20117	0.026003828
0.636582629	23408.12109	-0.112800024	27463.20117	0.025901682
0.63659423	23447.51367	-0.113271475	27463.20117	0.025992602
0.636605774	23437.08008	-0.113549098	27463.20117	0.026130677
0.63661736	23443.07227	-0.114962578	27516.62109	0.025902042
0.636628937	23471.17383	-0.11668364	27516.62109	0.025971429
0.636640515	23503.73438	-0.116631225	27516.62109	0.026121701
0.636652074	23535.81055	-0.117835961	27516.62109	0.026021321
0.636663644	23522.2793	-0.118475735	27516.62109	0.025947698
0.636675236	23529.66602	-0.1196068	27588.05273	0.025929904
0.636686803	23533.78125	-0.121244319	27588.05273	0.025849577
0.636698385	23589.80469	-0.121820092	27588.05273	0.026056702
0.636709943	23597.87695	-0.123072647	27588.05273	0.026103643
0.636721512	23600.81445	-0.121235125	27588.05273	0.026088687
0.636733096	23623.80664	-0.124085896	27671.93359	0.025834795
0.636744672	23653.13867	-0.12370503	27671.93359	0.025925588
0.636756252	23651.61523	-0.12425974	27671.93359	0.025918392
0.636767813	23655.54102	-0.124827288	27671.93359	0.026065181
0.636779403	23698.44336	-0.12642175	27671.93359	0.026161504
0.636790966	23684.05469	-0.127067462	27711.62109	0.025953659
0.636802548	23748.11914	-0.126479566	27711.62109	0.02617296
0.636814111	23750.70117	-0.126429886	27711.62109	0.026330726
0.63682569	23825.66211	-0.127467468	27711.62109	0.026447816
0.636837283	23808.88281	-0.128102318	27711.62109	0.026522476
0.636848832	23812.66797	-0.127687797	27904.00195	0.025803003
0.636860429	23874.5918	-0.127428561	27904.00195	0.025870136
0.636871971	23916.53125	-0.128891006	27904.00195	0.026038678
0.636883558	23935.08984	-0.129149377	27904.00195	0.02628248
0.636895152	23967.75586	-0.127846956	27904.00195	0.026308121
0.636906696	24017.84961	-0.129518718	28024.07617	0.025960053
0.636918291	24049.34766	-0.129206345	28024.07617	0.026162921
0.636929868	24066.58789	-0.129977122	28024.07617	0.026288283
0.636941419	24115.45898	-0.13134867	28024.07617	0.026336606
0.636953009	24127.38477	-0.129630148	28024.07617	0.026444302
0.636964593	24130.43945	-0.128622562	28166.02734	0.025913151
0.636976142	24181.34375	-0.130401641	28166.02734	0.026205642
0.636987725	24265.80273	-0.129782647	28166.02734	0.026456391
0.636999312	24320.36719	-0.129875749	28166.02734	0.026529501
0.637010887	24370.81445	-0.130090565	28166.02734	0.026802997
0.637022435	24388.19531	-0.132031947	28302.81055	0.026389462
0.637034009	24383.80664	-0.131292194	28302.81055	0.026285828
0.637045596	24483.04688	-0.132291481	28302.81055	0.026633481
0.637057159	24524.61914	-0.131403133	28302.81055	0.026895676
0.637068746	24569.0293	-0.132342696	28302.81055	0.026860706
0.637080326	24534.40234	-0.132342935	28442.56836	0.026314221
0.637091879	24619.95703	-0.131714895	28442.56836	0.026723671
0.637103459	24632.35742	-0.132028744	28442.56836	0.026581108
0.637115042	24681.11523	-0.1314006	28442.56836	0.026707461
0.637126617	24685.03711	-0.131658405	28442.56836	0.026839476
0.637138176	24706.63477	-0.131926656	28595.55664	0.026377153
0.637149777	24671.42578	-0.132446468	28595.55664	0.02623799
0.637161321	24657.35742	-0.132814705	28595.55664	0.026242553
0.637172917	24701.32227	-0.134174421	28595.55664	0.026292686
0.637184472	24639.6875	-0.132971466	28595.55664	0.026130781
0.637196055	24673.6582	-0.133547574	28737.85352	0.025732548
0.63720763	24700.81445	-0.134123117	28737.85352	0.025948537
0.637219208	24799.1875	-0.135117859	28737.85352	0.026139979
0.637230784	24862.97266	-0.133704528	28737.85352	0.026343992
0.637242351	24989.00977	-0.135534912	28737.85352	0.026885134
0.637253945	25050.99609	-0.134122163	28905.78711	0.026397629
0.637265509	25036.11133	-0.135064349	28905.78711	0.026367782
0.637277069	25040.22852	-0.135433927	28905.78711	0.026360454
0.637288644	25033.80664	-0.134853974	28905.78711	0.026411959
0.637300233	25043.30859	-0.134959146	28905.78711	0.026359321
0.637311808	25041.80859	-0.135651812	29043.53516	0.025880206
0.637323378	25175.99219	-0.134851158	29043.53516	0.026318867
0.637334963	25212.69727	-0.135960162	29043.53516	0.026464433
0.637346516	25303.75781	-0.135948435	29043.53516	0.026678731
0.637358106	25265.94727	-0.136646032	29043.53516	0.026651238
0.637369672	25262.36719	-0.134904236	29191.41016	0.026149206
0.637381251	25255.07031	-0.136802316	29191.41016	0.02621118
0.637392809	25272.07617	-0.137197197	29191.41016	0.026129809
0.637404377	25251.86328	-0.136898041	29191.41016	0.026077101
0.637415974	25301.60156	-0.137149915	29191.41016	0.026297217
0.637427543	25316.4043	-0.137376219	29343.85352	0.025788783
0.63743911	25390.82617	-0.137511864	29343.85352	0.026117093
0.637450706	25470.18164	-0.138776287	29343.85352	0.026324057
0.637462275	25502.13867	-0.137060359	29343.85352	0.026456697
0.637473835	25544.96484	-0.137306765	29343.85352	0.026555493
0.63748542	25565.58594	-0.136955053	29444.14453	0.02629255
